Bar Name,Brand Name,sigma,forecast_daily_ml,par95,par99
Anderson's Bar,Absolut,102.7879666584429,0.0,239.1027271459623,338.16754990186575
Anderson's Bar,Bacardi,172.12373529440129,256.5214285714286,913.4326678703819,1079.3218072643394
Anderson's Bar,Barefoot,176.2125309200839,48.1885714285714,506.2782049171492,676.1080372454202
Anderson's Bar,Budweiser,116.32318013868203,0.0,270.58799298823726,382.69776222935326
Anderson's Bar,Captain Morgan,190.847281268823,0.0,443.94404231577363,627.8785310207223
Anderson's Bar,Coors,157.1603813780942,0.0,365.58244129557613,517.0502232899995
Anderson's Bar,Grey Goose,166.49281975997985,22.099999999999998,431.4913196844767,591.9535042752079
Anderson's Bar,Heineken,145.70235002614706,55.07142857142857,449.0719202946847,589.496699086369
Anderson's Bar,Jack Daniels,140.8101930646443,0.0,327.54905332043995,463.25887686939865
Anderson's Bar,Jameson,169.940164150609,103.30714285714285,601.9247293488427,765.7093900244549
Anderson's Bar,Jim Beam,160.22033538178124,158.48285714285717,689.6661419663502,844.0830415556743
Anderson's Bar,Malibu,130.22670729059445,0.0,302.93002063060555,428.4397091206638
Anderson's Bar,Miller,163.04196037726058,0.0,379.26401925010595,536.400340082479
Anderson's Bar,Smirnoff,163.44754285612154,46.70428571428568,473.6160462205163,631.1432586882379
Anderson's Bar,Sutter Home,168.21972520088806,78.72714285714287,548.7626884666317,710.8892272320909
Anderson's Bar,Yellow Tail,161.19825291580335,18.487142857142857,411.94952003727417,567.3089154296304
Brown's Bar,Absolut,150.15941602579215,22.88714285714284,395.07126128066574,539.7916640409942
Brown's Bar,Bacardi,154.713119318594,88.66857142857144,537.226826026549,686.3359896919686
Brown's Bar,Barefoot,146.49868918012754,41.075714285714284,422.932915403185,564.125188676055
Brown's Bar,Budweiser,145.21337605211562,0.0,337.7916244564711,477.7451406904415
Brown's Bar,Captain Morgan,143.5866129328805,0.0,334.0074898843564,472.39316695084545
Brown's Bar,Coors,125.24064685455836,0.0,291.3315749493874,412.03580605563064
Brown's Bar,Grey Goose,172.73333850442881,0.0,401.8078540523708,568.2845158569379
